TimeUtc,BCG_amp1,BCG_amp2,BCG_amp3,BCG_amp4,BCG_amp5,BCG_amp6,BCG_amp7,BCG_amp8,BCG_amp9,BCG_amp10,BCG_amp11,BCG_amp12,BCG_amp13,BCG_amp14,BCG_amp15,BCG_amp16,BCG_amp17,BCG_amp18,BCG_amp19,BCG_amp20,HR [bpm]
16:26:05,-3.09596,-3.43597,-3.59779,-3.63748,-3.32542,-0.996401,-1.49733,-1.69507,-1.87219,-2.17707,-2.30148,-2.40848,-2.4852,-2.33512,-2.19606,-2.19091,-2.13654,-2.13439,-2.0533,-2.04317,85.099998
16:26:06,-2.09282,-2.03281,-2.63553,-3.34419,-3.91288,-3.94082,-3.85924,-3.53166,-3.52263,-3.24465,-3.11803,-3.03675,-2.76845,-2.66685,-2.62767,-2.46482,-2.51611,-2.45702,-2.29625,-2.24338,84.599998
16:26:07,-2.16796,-2.2116,-2.43608,-2.42635,-2.53435,-2.53686,-2.40608,-2.52359,-2.13879,-0.806435,-0.822308,-0.983581,-1.61215,-2.21651,-2.91493,-3.7165,-3.1119,-3.63086,-1.33076,0.102211,83.700005
16:26:08,-1.70361,-3.82326,-5.17415,-7.29813,-9.43682,-8.86377,-7.58389,-6.89518,-3.81246,-6.50479,-8.86555,-8.50854,-6.37345,-8.35977,-5.98808,-4.22932,-3.42633,-1.87674,-3.16538,-2.37751,81.4500005
16:26:09,-3.55861,-2.06542,-3.09756,-3.10724,-2.89322,-4.38387,-6.89959,-8.08557,-8.08346,-9.2022,-10.6011,-9.23948,-8.29198,-6.91642,-6.11943,-5.05853,-4.41838,-7.40544,-6.82353,-6.88298,79.599998
16:26:10,-3.77238,-4.63708,-7.0538,-7.61731,-8.17493,-10.9827,-9.79464,-9.90517,-9.15206,-9.65524,-7.99732,-9.35692,-8.78184,-9.12488,-8.59786,-8.53112,-8.90756,-8.29053,-8.02469,-8.12164,80.700005
16:26:13,-21.3288,-21.564,-21.7727,-21.6474,-21.5691,-21.3447,-21.1164,-20.6932,-20.3871,-20.1974,-19.9365,-19.3817,-17.9255,-17.6037,-17.1821,-17.0968,-16.8118,-16.6083,-16.5651,-16.4176,83.4000015
16:26:14,-16.448,-16.6711,-16.6242,-16.1027,-15.8525,-15.4779,-15.1387,-14.9584,-14.9406,-15.0381,-15.0918,-15.3235,-15.7463,-16.1363,-16.5747,-16.9444,-15.3921,-14.5162,-15.4578,-18.0833,85.400002
16:26:15,-18.0462,-19.2231,-17.7592,-18.4785,-18.417,-18.1626,-18.5161,-19.5391,-20.0507,-19.8441,-17.256,-17.2201,-17.0219,-17.8194,-18.3743,-18.5835,-17.9929,-16.9102,-16.997,-15.7079,86.200005
16:26:16,-16.2301,-14.7853,-14.7996,-14.4087,-14.079,-13.2842,-12.2752,-13.1878,-12.8767,-13.8576,-12.4204,-13.5145,-15.744,-16.8048,-16.0579,-18.0341,-16.5761,-17.6375,-19.9233,-20.2799,86.200005
